Country,Date,No. of confirmed cases,No. of confirmed deaths,Male Cases,Female Cases,Boys,Girls,Adult Male,Adult Female,Old Male,Old Female
Nigeria,06/01/2015,19,7,11.4,7.6,3.42,2.28,6.84,4.56,1.14,0.76
United States of America,06/01/2015,4,1,2.4,1.6,0.72,0.48,1.44,0.96,0.24,0.16
Sierra Leone,06/01/2015,7602,2577,4561.2,3040.8,1368.36,912.24,2736.72,1824.48,456.12,304.08
Liberia,06/01/2015,3118,,1870.8,1247.2,561.24,374.16,1122.48,748.32,187.08,124.72
Guinea,06/01/2015,2471,1499,1482.6,988.4,444.78,296.52,889.56,593.04,148.26,98.84
Mali,06/01/2015,7,,4.2,2.8,1.26,0.84,2.52,1.68,0.42,0.28
United Kingdom,06/01/2015,1,0,0.6,0.4,0.18,0.12,0.36,0.24,0.06,0.04
Nigeria,07/01/2015,19,7,11.4,7.6,3.42,2.28,6.84,4.56,1.14,0.76
United States of America,07/01/2015,4,1,2.4,1.6,0.72,0.48,1.44,0.96,0.24,0.16
Mali,07/01/2015,7,,4.2,2.8,1.26,0.84,2.52,1.68,0.42,0.28
Sierra Leone,07/01/2015,7602,2577,4561.2,3040.8,1368.36,912.24,2736.72,1824.48,456.12,304.08
Liberia,07/01/2015,3118,,1870.8,1247.2,561.24,374.16,1122.48,748.32,187.08,124.72
Guinea,07/01/2015,2471,1499,1482.6,988.4,444.78,296.52,889.56,593.04,148.26,98.84
United Kingdom,07/01/2015,1,0,0.6,0.4,0.18,0.12,0.36,0.24,0.06,0.04
Spain,07/01/2015,1,0,0.6,0.4,0.18,0.12,0.36,0.24,0.06,0.04
Senegal,07/01/2015,1,0,0.6,0.4,0.18,0.12,0.36,0.24,0.06,0.04
Liberia,08/01/2015,3118,,1870.8,1247.2,561.24,374.16,1122.48,748.32,187.08,124.72
Sierra Leone,08/01/2015,7759,2611,4655.4,3103.6,1396.62,931.08,2793.24,1862.16,465.54,310.36
United Kingdom,08/01/2015,1,,0.6,0.4,0.18,0.12,0.36,0.24,0.06,0.04
Guinea,08/01/2015,2477,1504,1486.2,990.8,445.86,297.24,891.72,594.48,148.62,99.08
Mali,08/01/2015,7,,4.2,2.8,1.26,0.84,2.52,1.68,0.42,0.28
Mali,09/01/2015,7,,4.2,2.8,1.26,0.84,2.52,1.68,0.42,0.28
Sierra Leone,09/01/2015,7759,2611,4655.4,3103.6,1396.62,931.08,2793.24,1862.16,465.54,310.36
Liberia,09/01/2015,3123,,1873.8,1249.2,562.14,374.76,1124.28,749.52,187.38,124.92
United Kingdom,09/01/2015,1,,0.6,0.4,0.18,0.12,0.36,0.24,0.06,0.04
Guinea,09/01/2015,2493,1515,1495.8,997.2,448.74,299.16,897.48,598.32,149.58,99.72
Liberia,12/01/2015,3123,,1873.8,1249.2,562.14,374.76,1124.28,749.52,187.38,124.92
Mali,12/01/2015,7,,4.2,2.8,1.26,0.84,2.52,1.68,0.42,0.28
United Kingdom,12/01/2015,1,,0.6,0.4,0.18,0.12,0.36,0.24,0.06,0.04
Guinea,12/01/2015,2508,1523,1504.8,1003.2,451.44,300.96,902.88,601.92,150.48,100.32
Sierra Leone,12/01/2015,7766,2683,4659.6,3106.4,1397.88,931.92,2795.76,1863.84,465.96,310.64
Liberia,13/01/2015,3123,,1873.8,1249.2,562.14,374.76,1124.28,749.52,187.38,124.92
Sierra Leone,13/01/2015,7766,2683,4659.6,3106.4,1397.88,931.92,2795.76,1863.84,465.96,310.64
Mali,13/01/2015,7,,4.2,2.8,1.26,0.84,2.52,1.68,0.42,0.28
Guinea,13/01/2015,2508,1523,1504.8,1003.2,451.44,300.96,902.88,601.92,150.48,100.32
United Kingdom,13/01/2015,1,,0.6,0.4,0.18,0.12,0.36,0.24,0.06,0.04
Sierra Leone,14/01/2015,7786,2696,4671.6,3114.4,1401.48,934.32,2802.96,1868.64,467.16,311.44
United States of America,14/01/2015,4,1,2.4,1.6,0.72,0.48,1.44,0.96,0.24,0.16
Mali,14/01/2015,7,,4.2,2.8,1.26,0.84,2.52,1.68,0.42,0.28
Guinea,14/01/2015,2514,1530,1508.4,1005.6,452.52,301.68,905.04,603.36,150.84,100.56
Liberia,14/01/2015,3127,,1876.2,1250.8,562.86,375.24,1125.72,750.48,187.62,125.08
Senegal,14/01/2015,1,0,0.6,0.4,0.18,0.12,0.36,0.24,0.06,0.04
Spain,14/01/2015,1,0,0.6,0.4,0.18,0.12,0.36,0.24,0.06,0.04
United Kingdom,14/01/2015,1,,0.6,0.4,0.18,0.12,0.36,0.24,0.06,0.04
Nigeria,14/01/2015,19,7,11.4,7.6,3.42,2.28,6.84,4.56,1.14,0.76
Senegal,15/01/2015,1,0,0.6,0.4,0.18,0.12,0.36,0.24,0.06,0.04
Mali,15/01/2015,7,,4.2,2.8,1.26,0.84,2.52,1.68,0.42,0.28
Liberia,15/01/2015,3127,,1876.2,1250.8,562.86,375.24,1125.72,750.48,187.62,125.08
United Kingdom,15/01/2015,1,,0.6,0.4,0.18,0.12,0.36,0.24,0.06,0.04
Sierra Leone,15/01/2015,7802,2701,4681.2,3120.8,1404.36,936.24,2808.72,1872.48,468.12,312.08
United States of America,15/01/2015,4,1,2.4,1.6,0.72,0.48,1.44,0.96,0.24,0.16
Nigeria,15/01/2015,19,7,11.4,7.6,3.42,2.28,6.84,4.56,1.14,0.76
Spain,15/01/2015,1,0,0.6,0.4,0.18,0.12,0.36,0.24,0.06,0.04
Guinea,15/01/2015,2522,1537,1513.2,1008.8,453.96,302.64,907.92,605.28,151.32,100.88
United States of America,16/01/2015,4,1,2.4,1.6,0.72,0.48,1.44,0.96,0.24,0.16
Spain,16/01/2015,1,0,0.6,0.4,0.18,0.12,0.36,0.24,0.06,0.04
Mali,16/01/2015,7,,4.2,2.8,1.26,0.84,2.52,1.68,0.42,0.28
Liberia,16/01/2015,3127,,1876.2,1250.8,562.86,375.24,1125.72,750.48,187.62,125.08
Guinea,16/01/2015,2525,1541,1515,1010,454.5,303,909,606,151.5,101
Senegal,16/01/2015,1,0,0.6,0.4,0.18,0.12,0.36,0.24,0.06,0.04
United Kingdom,16/01/2015,1,,0.6,0.4,0.18,0.12,0.36,0.24,0.06,0.04
Nigeria,16/01/2015,19,7,11.4,7.6,3.42,2.28,6.84,4.56,1.14,0.76
Sierra Leone,16/01/2015,7825,2717,4695,3130,1408.5,939,2817,1878,469.5,313
Guinea,19/01/2015,2539,1556,1523.4,1015.6,457.02,304.68,914.04,609.36,152.34,101.56
Nigeria,19/01/2015,19,7,11.4,7.6,3.42,2.28,6.84,4.56,1.14,0.76
Mali,19/01/2015,7,,4.2,2.8,1.26,0.84,2.52,1.68,0.42,0.28
Spain,19/01/2015,1,0,0.6,0.4,0.18,0.12,0.36,0.24,0.06,0.04
Sierra Leone,19/01/2015,7883,2766,4729.8,3153.2,1418.94,945.96,2837.88,1891.92,472.98,315.32
Liberia,19/01/2015,3131,,1878.6,1252.4,563.58,375.72,1127.16,751.44,187.86,125.24
Senegal,19/01/2015,1,0,0.6,0.4,0.18,0.12,0.36,0.24,0.06,0.04
United States of America,19/01/2015,4,1,2.4,1.6,0.72,0.48,1.44,0.96,0.24,0.16
United Kingdom,19/01/2015,1,,0.6,0.4,0.18,0.12,0.36,0.24,0.06,0.04
Mali,20/01/2015,7,,4.2,2.8,1.26,0.84,2.52,1.68,0.42,0.28
Senegal,20/01/2015,1,0,0.6,0.4,0.18,0.12,0.36,0.24,0.06,0.04
Liberia,20/01/2015,3135,,1881,1254,564.3,376.2,1128.6,752.4,188.1,125.4
Guinea,20/01/2015,2539,1557,1523.4,1015.6,457.02,304.68,914.04,609.36,152.34,101.56
Nigeria,20/01/2015,19,7,11.4,7.6,3.42,2.28,6.84,4.56,1.14,0.76
Spain,20/01/2015,1,0,0.6,0.4,0.18,0.12,0.36,0.24,0.06,0.04
United Kingdom,20/01/2015,1,,0.6,0.4,0.18,0.12,0.36,0.24,0.06,0.04
Sierra Leone,20/01/2015,7903,2779,4741.8,3161.2,1422.54,948.36,2845.08,1896.72,474.18,316.12
United States of America,20/01/2015,4,1,2.4,1.6,0.72,0.48,1.44,0.96,0.24,0.16
United States of America,21/01/2015,4,1,2.4,1.6,0.72,0.48,1.44,0.96,0.24,0.16
Nigeria,21/01/2015,19,7,11.4,7.6,3.42,2.28,6.84,4.56,1.14,0.76
Guinea,21/01/2015,2539,1557,1523.4,1015.6,457.02,304.68,914.04,609.36,152.34,101.56
Sierra Leone,21/01/2015,7903,2779,4741.8,3161.2,1422.54,948.36,2845.08,1896.72,474.18,316.12
United Kingdom,21/01/2015,1,,0.6,0.4,0.18,0.12,0.36,0.24,0.06,0.04
Liberia,21/01/2015,3135,,1881,1254,564.3,376.2,1128.6,752.4,188.1,125.4
Senegal,21/01/2015,1,0,0.6,0.4,0.18,0.12,0.36,0.24,0.06,0.04
Mali,21/01/2015,7,,4.2,2.8,1.26,0.84,2.52,1.68,0.42,0.28
Spain,21/01/2015,1,0,0.6,0.4,0.18,0.12,0.36,0.24,0.06,0.04
Sierra Leone,22/01/2015,7909,2787,4745.4,3163.6,1423.62,949.08,2847.24,1898.16,474.54,316.36
Mali,22/01/2015,7,,4.2,2.8,1.26,0.84,2.52,1.68,0.42,0.28
Liberia,22/01/2015,3136,,1881.6,1254.4,564.48,376.32,1128.96,752.64,188.16,125.44
Senegal,22/01/2015,1,0,0.6,0.4,0.18,0.12,0.36,0.24,0.06,0.04
Guinea,22/01/2015,2542,1560,1525.2,1016.8,457.56,305.04,915.12,610.08,152.52,101.68
United Kingdom,22/01/2015,1,,0.6,0.4,0.18,0.12,0.36,0.24,0.06,0.04
United States of America,22/01/2015,4,1,2.4,1.6,0.72,0.48,1.44,0.96,0.24,0.16
Spain,22/01/2015,1,0,0.6,0.4,0.18,0.12,0.36,0.24,0.06,0.04
Nigeria,22/01/2015,19,7,11.4,7.6,3.42,2.28,6.84,4.56,1.14,0.76
Spain,23/01/2015,1,0,0.6,0.4,0.18,0.12,0.36,0.24,0.06,0.04
Mali,23/01/2015,7,,4.2,2.8,1.26,0.84,2.52,1.68,0.42,0.28
Senegal,23/01/2015,1,0,0.6,0.4,0.18,0.12,0.36,0.24,0.06,0.04
Liberia,23/01/2015,3136,,1881.6,1254.4,564.48,376.32,1128.96,752.64,188.16,125.44
United Kingdom,23/01/2015,1,,0.6,0.4,0.18,0.12,0.36,0.24,0.06,0.04
Sierra Leone,23/01/2015,7921,2793,4752.6,3168.4,1425.78,950.52,2851.56,1901.04,475.26,316.84
Nigeria,23/01/2015,19,7,11.4,7.6,3.42,2.28,6.84,4.56,1.14,0.76
Guinea,23/01/2015,2545,1561,1527,1018,458.1,305.4,916.2,610.8,152.7,101.8
United States of America,23/01/2015,4,1,2.4,1.6,0.72,0.48,1.44,0.96,0.24,0.16
Sierra Leone,26/01/2015,7963,2829,4777.8,3185.2,1433.34,955.56,2866.68,1911.12,477.78,318.52
Mali,26/01/2015,7,,4.2,2.8,1.26,0.84,2.52,1.68,0.42,0.28
United States of America,26/01/2015,4,1,2.4,1.6,0.72,0.48,1.44,0.96,0.24,0.16
Liberia,26/01/2015,3136,,1881.6,1254.4,564.48,376.32,1128.96,752.64,188.16,125.44
Guinea,26/01/2015,2559,1574,1535.4,1023.6,460.62,307.08,921.24,614.16,153.54,102.36
Spain,26/01/2015,1,0,0.6,0.4,0.18,0.12,0.36,0.24,0.06,0.04
United Kingdom,26/01/2015,1,,0.6,0.4,0.18,0.12,0.36,0.24,0.06,0.04
Nigeria,26/01/2015,19,7,11.4,7.6,3.42,2.28,6.84,4.56,1.14,0.76
Senegal,26/01/2015,1,0,0.6,0.4,0.18,0.12,0.36,0.24,0.06,0.04
Liberia,27/01/2015,3138,,1882.8,1255.2,564.84,376.56,1129.68,753.12,188.28,125.52
United States of America,27/01/2015,4,1,2.4,1.6,0.72,0.48,1.44,0.96,0.24,0.16
United Kingdom,27/01/2015,1,,0.6,0.4,0.18,0.12,0.36,0.24,0.06,0.04
Sierra Leone,27/01/2015,7968,2833,4780.8,3187.2,1434.24,956.16,2868.48,1912.32,478.08,318.72
Senegal,27/01/2015,1,0,0.6,0.4,0.18,0.12,0.36,0.24,0.06,0.04
Spain,27/01/2015,1,0,0.6,0.4,0.18,0.12,0.36,0.24,0.06,0.04
Nigeria,27/01/2015,19,7,11.4,7.6,3.42,2.28,6.84,4.56,1.14,0.76
Mali,27/01/2015,7,,4.2,2.8,1.26,0.84,2.52,1.68,0.42,0.28
Guinea,27/01/2015,2569,1578,1541.4,1027.6,462.42,308.28,924.84,616.56,154.14,102.76
United Kingdom,28/01/2015,1,,0.6,0.4,0.18,0.12,0.36,0.24,0.06,0.04
Liberia,28/01/2015,3138,,1882.8,1255.2,564.84,376.56,1129.68,753.12,188.28,125.52
Nigeria,28/01/2015,19,7,11.4,7.6,3.42,2.28,6.84,4.56,1.14,0.76
Spain,28/01/2015,1,0,0.6,0.4,0.18,0.12,0.36,0.24,0.06,0.04
Guinea,28/01/2015,2569,1578,1541.4,1027.6,462.42,308.28,924.84,616.56,154.14,102.76
Senegal,28/01/2015,1,0,0.6,0.4,0.18,0.12,0.36,0.24,0.06,0.04
United States of America,28/01/2015,4,1,2.4,1.6,0.72,0.48,1.44,0.96,0.24,0.16
Mali,28/01/2015,7,,4.2,2.8,1.26,0.84,2.52,1.68,0.42,0.28
Sierra Leone,28/01/2015,7968,2833,4780.8,3187.2,1434.24,956.16,2868.48,1912.32,478.08,318.72
Senegal,29/01/2015,1,0,0.6,0.4,0.18,0.12,0.36,0.24,0.06,0.04
Nigeria,29/01/2015,19,7,11.4,7.6,3.42,2.28,6.84,4.56,1.14,0.76
Liberia,29/01/2015,3138,,1882.8,1255.2,564.84,376.56,1129.68,753.12,188.28,125.52
Spain,29/01/2015,1,0,0.6,0.4,0.18,0.12,0.36,0.24,0.06,0.04
United States of America,29/01/2015,4,1,2.4,1.6,0.72,0.48,1.44,0.96,0.24,0.16
United Kingdom,29/01/2015,1,,0.6,0.4,0.18,0.12,0.36,0.24,0.06,0.04
Mali,29/01/2015,7,,4.2,2.8,1.26,0.84,2.52,1.68,0.42,0.28
Guinea,29/01/2015,2571,1579,1542.6,1028.4,462.78,308.52,925.56,617.04,154.26,102.84
Sierra Leone,29/01/2015,7977,2841,4786.2,3190.8,1435.86,957.24,2871.72,1914.48,478.62,319.08
Sierra Leone,30/01/2015,7989,2850,4793.4,3195.6,1438.02,958.68,2876.04,1917.36,479.34,319.56
Guinea,30/01/2015,2575,1581,1545,1030,463.5,309,927,618,154.5,103
Nigeria,30/01/2015,19,7,11.4,7.6,3.42,2.28,6.84,4.56,1.14,0.76
Mali,30/01/2015,7,,4.2,2.8,1.26,0.84,2.52,1.68,0.42,0.28
Senegal,30/01/2015,1,0,0.6,0.4,0.18,0.12,0.36,0.24,0.06,0.04
Liberia,30/01/2015,3138,,1882.8,1255.2,564.84,376.56,1129.68,753.12,188.28,125.52
Spain,30/01/2015,1,0,0.6,0.4,0.18,0.12,0.36,0.24,0.06,0.04
United States of America,30/01/2015,4,1,2.4,1.6,0.72,0.48,1.44,0.96,0.24,0.16
United Kingdom,30/01/2015,1,,0.6,0.4,0.18,0.12,0.36,0.24,0.06,0.04
Liberia,02/02/2015,3138,,1882.8,1255.2,564.84,376.56,1129.68,753.12,188.28,125.52
Mali,02/02/2015,7,,4.2,2.8,1.26,0.84,2.52,1.68,0.42,0.28
United Kingdom,02/02/2015,1,,0.6,0.4,0.18,0.12,0.36,0.24,0.06,0.04
Guinea,02/02/2015,2593,1595,1555.8,1037.2,466.74,311.16,933.48,622.32,155.58,103.72
United States of America,02/02/2015,4,1,2.4,1.6,0.72,0.48,1.44,0.96,0.24,0.16
Spain,02/02/2015,1,0,0.6,0.4,0.18,0.12,0.36,0.24,0.06,0.04
Sierra Leone,02/02/2015,8042,2908,4825.2,3216.8,1447.56,965.04,2895.12,1930.08,482.52,321.68
Senegal,02/02/2015,1,0,0.6,0.4,0.18,0.12,0.36,0.24,0.06,0.04
Nigeria,02/02/2015,19,7,11.4,7.6,3.42,2.28,6.84,4.56,1.14,0.76
United Kingdom,03/02/2015,1,,0.6,0.4,0.18,0.12,0.36,0.24,0.06,0.04
Spain,03/02/2015,1,0,0.6,0.4,0.18,0.12,0.36,0.24,0.06,0.04
Senegal,03/02/2015,1,0,0.6,0.4,0.18,0.12,0.36,0.24,0.06,0.04
Guinea,03/02/2015,2608,1597,1564.8,1043.2,469.44,312.96,938.88,625.92,156.48,104.32
Sierra Leone,03/02/2015,8059,2910,4835.4,3223.6,1450.62,967.08,2901.24,1934.16,483.54,322.36
United States of America,03/02/2015,4,1,2.4,1.6,0.72,0.48,1.44,0.96,0.24,0.16
Mali,03/02/2015,7,,4.2,2.8,1.26,0.84,2.52,1.68,0.42,0.28
Liberia,03/02/2015,3143,,1885.8,1257.2,565.74,377.16,1131.48,754.32,188.58,125.72
Nigeria,03/02/2015,19,7,11.4,7.6,3.42,2.28,6.84,4.56,1.14,0.76
Nigeria,04/02/2015,19,7,11.4,7.6,3.42,2.28,6.84,4.56,1.14,0.76
United Kingdom,04/02/2015,1,,0.6,0.4,0.18,0.12,0.36,0.24,0.06,0.04
Mali,04/02/2015,7,,4.2,2.8,1.26,0.84,2.52,1.68,0.42,0.28
Liberia,04/02/2015,3143,,1885.8,1257.2,565.74,377.16,1131.48,754.32,188.58,125.72
Spain,04/02/2015,1,0,0.6,0.4,0.18,0.12,0.36,0.24,0.06,0.04
Sierra Leone,04/02/2015,8059,2910,4835.4,3223.6,1450.62,967.08,2901.24,1934.16,483.54,322.36
Senegal,04/02/2015,1,0,0.6,0.4,0.18,0.12,0.36,0.24,0.06,0.04
United States of America,04/02/2015,4,1,2.4,1.6,0.72,0.48,1.44,0.96,0.24,0.16
Guinea,04/02/2015,2608,1597,1564.8,1043.2,469.44,312.96,938.88,625.92,156.48,104.32
United Kingdom,05/02/2015,1,,0.6,0.4,0.18,0.12,0.36,0.24,0.06,0.04
Senegal,05/02/2015,1,0,0.6,0.4,0.18,0.12,0.36,0.24,0.06,0.04
Liberia,05/02/2015,3143,,1885.8,1257.2,565.74,377.16,1131.48,754.32,188.58,125.72
Nigeria,05/02/2015,19,7,11.4,7.6,3.42,2.28,6.84,4.56,1.14,0.76
United States of America,05/02/2015,4,1,2.4,1.6,0.72,0.48,1.44,0.96,0.24,0.16
Mali,05/02/2015,7,,4.2,2.8,1.26,0.84,2.52,1.68,0.42,0.28
Sierra Leone,05/02/2015,8063,2920,4837.8,3225.2,1451.34,967.56,2902.68,1935.12,483.78,322.52
Guinea,05/02/2015,2621,1600,1572.6,1048.4,471.78,314.52,943.56,629.04,157.26,104.84
Spain,05/02/2015,1,0,0.6,0.4,0.18,0.12,0.36,0.24,0.06,0.04
Sierra Leone,06/02/2015,8084,2935,4850.4,3233.6,1455.12,970.08,2910.24,1940.16,485.04,323.36
Senegal,06/02/2015,1,0,0.6,0.4,0.18,0.12,0.36,0.24,0.06,0.04
Guinea,06/02/2015,2628,1608,1576.8,1051.2,473.04,315.36,946.08,630.72,157.68,105.12
Nigeria,06/02/2015,19,7,11.4,7.6,3.42,2.28,6.84,4.56,1.14,0.76
United Kingdom,06/02/2015,1,,0.6,0.4,0.18,0.12,0.36,0.24,0.06,0.04
Liberia,06/02/2015,3143,,1885.8,1257.2,565.74,377.16,1131.48,754.32,188.58,125.72
Mali,06/02/2015,7,,4.2,2.8,1.26,0.84,2.52,1.68,0.42,0.28
United States of America,06/02/2015,4,1,2.4,1.6,0.72,0.48,1.44,0.96,0.24,0.16
Spain,06/02/2015,1,0,0.6,0.4,0.18,0.12,0.36,0.24,0.06,0.04
Senegal,10/02/2015,1,0,0.6,0.4,0.18,0.12,0.36,0.24,0.06,0.04
Liberia,10/02/2015,3146,3826,1887.6,1258.4,566.28,377.52,1132.56,755.04,188.76,125.84
Nigeria,10/02/2015,19,7,11.4,7.6,3.42,2.28,6.84,4.56,1.14,0.76
Sierra Leone,10/02/2015,8135,2975,4881,3254,1464.3,976.2,2928.6,1952.4,488.1,325.4
Spain,10/02/2015,1,0,0.6,0.4,0.18,0.12,0.36,0.24,0.06,0.04
United States of America,10/02/2015,4,1,2.4,1.6,0.72,0.48,1.44,0.96,0.24,0.16
Guinea,10/02/2015,2674,1643,1604.4,1069.6,481.32,320.88,962.64,641.76,160.44,106.96
Mali,10/02/2015,7,,4.2,2.8,1.26,0.84,2.52,1.68,0.42,0.28
United Kingdom,10/02/2015,1,,0.6,0.4,0.18,0.12,0.36,0.24,0.06,0.04
Nigeria,11/02/2015,19,7,11.4,7.6,3.42,2.28,6.84,4.56,1.14,0.76
Mali,11/02/2015,7,,4.2,2.8,1.26,0.84,2.52,1.68,0.42,0.28
Senegal,11/02/2015,1,0,0.6,0.4,0.18,0.12,0.36,0.24,0.06,0.04
Guinea,11/02/2015,2674,1643,1604.4,1069.6,481.32,320.88,962.64,641.76,160.44,106.96
Sierra Leone,11/02/2015,8135,2975,4881,3254,1464.3,976.2,2928.6,1952.4,488.1,325.4
Liberia,11/02/2015,3146,3826,1887.6,1258.4,566.28,377.52,1132.56,755.04,188.76,125.84
Spain,11/02/2015,1,0,0.6,0.4,0.18,0.12,0.36,0.24,0.06,0.04
United States of America,11/02/2015,4,1,2.4,1.6,0.72,0.48,1.44,0.96,0.24,0.16
United Kingdom,11/02/2015,1,,0.6,0.4,0.18,0.12,0.36,0.24,0.06,0.04
United States of America,12/02/2015,4,1,2.4,1.6,0.72,0.48,1.44,0.96,0.24,0.16
Liberia,12/02/2015,3146,3826,1887.6,1258.4,566.28,377.52,1132.56,755.04,188.76,125.84
Senegal,12/02/2015,1,0,0.6,0.4,0.18,0.12,0.36,0.24,0.06,0.04
Mali,12/02/2015,7,,4.2,2.8,1.26,0.84,2.52,1.68,0.42,0.28
Spain,12/02/2015,1,0,0.6,0.4,0.18,0.12,0.36,0.24,0.06,0.04
Nigeria,12/02/2015,19,7,11.4,7.6,3.42,2.28,6.84,4.56,1.14,0.76
United Kingdom,12/02/2015,1,,0.6,0.4,0.18,0.12,0.36,0.24,0.06,0.04
Sierra Leone,12/02/2015,8138,2984,4882.8,3255.2,1464.84,976.56,2929.68,1953.12,488.28,325.52
Guinea,12/02/2015,2685,1651,1611,1074,483.3,322.2,966.6,644.4,161.1,107.4
United States of America,13/02/2015,4,1,2.4,1.6,0.72,0.48,1.44,0.96,0.24,0.16
Guinea,13/02/2015,2693,1659,1615.8,1077.2,484.74,323.16,969.48,646.32,161.58,107.72
Mali,13/02/2015,7,,4.2,2.8,1.26,0.84,2.52,1.68,0.42,0.28
United Kingdom,13/02/2015,1,,0.6,0.4,0.18,0.12,0.36,0.24,0.06,0.04
Senegal,13/02/2015,1,0,0.6,0.4,0.18,0.12,0.36,0.24,0.06,0.04
Liberia,13/02/2015,3147,3858,1888.2,1258.8,566.46,377.64,1132.92,755.28,188.82,125.88
Sierra Leone,13/02/2015,8155,2997,4893,3262,1467.9,978.6,2935.8,1957.2,489.3,326.2
Spain,13/02/2015,1,0,0.6,0.4,0.18,0.12,0.36,0.24,0.06,0.04
Nigeria,13/02/2015,19,7,11.4,7.6,3.42,2.28,6.84,4.56,1.14,0.76
Spain,16/02/2015,1,0,0.6,0.4,0.18,0.12,0.36,0.24,0.06,0.04
Sierra Leone,16/02/2015,8199,3035,4919.4,3279.6,1475.82,983.88,2951.64,1967.76,491.94,327.96
Nigeria,16/02/2015,19,7,11.4,7.6,3.42,2.28,6.84,4.56,1.14,0.76
United Kingdom,16/02/2015,1,,0.6,0.4,0.18,0.12,0.36,0.24,0.06,0.04
United States of America,16/02/2015,4,1,2.4,1.6,0.72,0.48,1.44,0.96,0.24,0.16
Mali,16/02/2015,7,,4.2,2.8,1.26,0.84,2.52,1.68,0.42,0.28
Guinea,16/02/2015,2720,1678,1632,1088,489.6,326.4,979.2,652.8,163.2,108.8
Senegal,16/02/2015,1,0,0.6,0.4,0.18,0.12,0.36,0.24,0.06,0.04
Liberia,16/02/2015,3149,,1889.4,1259.6,566.82,377.88,1133.64,755.76,188.94,125.96
Mali,17/02/2015,7,,4.2,2.8,1.26,0.84,2.52,1.68,0.42,0.28
Sierra Leone,17/02/2015,8212,3042,4927.2,3284.8,1478.16,985.44,2956.32,1970.88,492.72,328.48
United Kingdom,17/02/2015,1,,0.6,0.4,0.18,0.12,0.36,0.24,0.06,0.04
United States of America,17/02/2015,4,1,2.4,1.6,0.72,0.48,1.44,0.96,0.24,0.16
Spain,17/02/2015,1,0,0.6,0.4,0.18,0.12,0.36,0.24,0.06,0.04
Senegal,17/02/2015,1,0,0.6,0.4,0.18,0.12,0.36,0.24,0.06,0.04
Liberia,17/02/2015,3149,,1889.4,1259.6,566.82,377.88,1133.64,755.76,188.94,125.96
Nigeria,17/02/2015,19,7,11.4,7.6,3.42,2.28,6.84,4.56,1.14,0.76
Guinea,17/02/2015,2727,1683,1636.2,1090.8,490.86,327.24,981.72,654.48,163.62,109.08
United Kingdom,18/02/2015,1,,0.6,0.4,0.18,0.12,0.36,0.24,0.06,0.04
United States of America,18/02/2015,4,1,2.4,1.6,0.72,0.48,1.44,0.96,0.24,0.16
Nigeria,18/02/2015,19,7,11.4,7.6,3.42,2.28,6.84,4.56,1.14,0.76
Spain,18/02/2015,1,0,0.6,0.4,0.18,0.12,0.36,0.24,0.06,0.04
Senegal,18/02/2015,1,0,0.6,0.4,0.18,0.12,0.36,0.24,0.06,0.04
Sierra Leone,18/02/2015,8212,3042,4927.2,3284.8,1478.16,985.44,2956.32,1970.88,492.72,328.48
Mali,18/02/2015,7,,4.2,2.8,1.26,0.84,2.52,1.68,0.42,0.28
Liberia,18/02/2015,3149,,1889.4,1259.6,566.82,377.88,1133.64,755.76,188.94,125.96
Guinea,18/02/2015,2727,1683,1636.2,1090.8,490.86,327.24,981.72,654.48,163.62,109.08
Sierra Leone,19/02/2015,8223,3057,4933.8,3289.2,1480.14,986.76,2960.28,1973.52,493.38,328.92
Senegal,19/02/2015,1,0,0.6,0.4,0.18,0.12,0.36,0.24,0.06,0.04
United States of America,19/02/2015,4,1,2.4,1.6,0.72,0.48,1.44,0.96,0.24,0.16
Liberia,19/02/2015,3152,,1891.2,1260.8,567.36,378.24,1134.72,756.48,189.12,126.08
United Kingdom,19/02/2015,1,,0.6,0.4,0.18,0.12,0.36,0.24,0.06,0.04
Guinea,19/02/2015,2732,1686,1639.2,1092.8,491.76,327.84,983.52,655.68,163.92,109.28
Spain,19/02/2015,1,0,0.6,0.4,0.18,0.12,0.36,0.24,0.06,0.04
Mali,19/02/2015,7,,4.2,2.8,1.26,0.84,2.52,1.68,0.42,0.28
Nigeria,19/02/2015,19,7,11.4,7.6,3.42,2.28,6.84,4.56,1.14,0.76
United Kingdom,20/02/2015,1,,0.6,0.4,0.18,0.12,0.36,0.24,0.06,0.04
Guinea,20/02/2015,2734,1688,1640.4,1093.6,492.12,328.08,984.24,656.16,164.04,109.36
Spain,20/02/2015,1,0,0.6,0.4,0.18,0.12,0.36,0.24,0.06,0.04
Nigeria,20/02/2015,19,7,11.4,7.6,3.42,2.28,6.84,4.56,1.14,0.76
Senegal,20/02/2015,1,0,0.6,0.4,0.18,0.12,0.36,0.24,0.06,0.04
Sierra Leone,20/02/2015,8223,3057,4933.8,3289.2,1480.14,986.76,2960.28,1973.52,493.38,328.92
Mali,20/02/2015,7,,4.2,2.8,1.26,0.84,2.52,1.68,0.42,0.28
United States of America,20/02/2015,4,1,2.4,1.6,0.72,0.48,1.44,0.96,0.24,0.16
Liberia,20/02/2015,3152,,1891.2,1260.8,567.36,378.24,1134.72,756.48,189.12,126.08
United States of America,23/02/2015,4,1,2.4,1.6,0.72,0.48,1.44,0.96,0.24,0.16
